Query,Type,State,City
"ADMA BioCenters, Columbus NE",Brand,NE,Columbus
"Southern Blood Services, Columbus NE",Brand,NE,Columbus
"plasma donation center, NV",General,NV,
"CSL Plasma, NV",Brand,NV,
"BioLife Plasma, NV",Brand,NV,
"Grifols Biomat, NV",Brand,NV,
"Octapharma Plasma, NV",Brand,NV,
"KEDPLASMA, NV",Brand,NV,
"Interstate Blood Bank, NV",Brand,NV,
"ImmunoTek Bio Centers, NV",Brand,NV,
"Talecris Plasma Resources, NV",Brand,NV,
"Blood and Plasma Research, NV",Brand,NV,
"B Positive Plasma, NV",Brand,NV,
"Freedom Plasma, NV",Brand,NV,
"GCAM Plasma, NV",Brand,NV,
"ADMA BioCenters, NV",Brand,NV,
"Southern Blood Services, NV",Brand,NV,
"plasma donation center, Las Vegas NV",General,NV,Las Vegas
"CSL Plasma, Las Vegas NV",Brand,NV,Las Vegas
"BioLife Plasma, Las Vegas NV",Brand,NV,Las Vegas
"Grifols Biomat, Las Vegas NV",Brand,NV,Las Vegas
"Octapharma Plasma, Las Vegas NV",Brand,NV,Las Vegas
"KEDPLASMA, Las Vegas NV",Brand,NV,Las Vegas
"Interstate Blood Bank, Las Vegas NV",Brand,NV,Las Vegas
"ImmunoTek Bio Centers, Las Vegas NV",Brand,NV,Las Vegas
"Talecris Plasma Resources, Las Vegas NV",Brand,NV,Las Vegas
"Blood and Plasma Research, Las Vegas NV",Brand,NV,Las Vegas
"B Positive Plasma, Las Vegas NV",Brand,NV,Las Vegas
"Freedom Plasma, Las Vegas NV",Brand,NV,Las Vegas
"GCAM Plasma, Las Vegas NV",Brand,NV,Las Vegas
"ADMA BioCenters, Las Vegas NV",Brand,NV,Las Vegas
"Southern Blood Services, Las Vegas NV",Brand,NV,Las Vegas
"plasma donation center, Henderson NV",General,NV,Henderson
"CSL Plasma, Henderson NV",Brand,NV,Henderson
"BioLife Plasma, Henderson NV",Brand,NV,Henderson
"Grifols Biomat, Henderson NV",Brand,NV,Henderson
"Octapharma Plasma, Henderson NV",Brand,NV,Henderson
"KEDPLASMA, Henderson NV",Brand,NV,Henderson
"Interstate Blood Bank, Henderson NV",Brand,NV,Henderson
"ImmunoTek Bio Centers, Henderson NV",Brand,NV,Henderson
"Talecris Plasma Resources, Henderson NV",Brand,NV,Henderson
"Blood and Plasma Research, Henderson NV",Brand,NV,Henderson
"B Positive Plasma, Henderson NV",Brand,NV,Henderson
"Freedom Plasma, Henderson NV",Brand,NV,Henderson
"GCAM Plasma, Henderson NV",Brand,NV,Henderson
"ADMA BioCenters, Henderson NV",Brand,NV,Henderson
"Southern Blood Services, Henderson NV",Brand,NV,Henderson
"plasma donation center, Reno NV",General,NV,Reno
"CSL Plasma, Reno NV",Brand,NV,Reno
"BioLife Plasma, Reno NV",Brand,NV,Reno
"Grifols Biomat, Reno NV",Brand,NV,Reno
"Octapharma Plasma, Reno NV",Brand,NV,Reno
"KEDPLASMA, Reno NV",Brand,NV,Reno
"Interstate Blood Bank, Reno NV",Brand,NV,Reno
"ImmunoTek Bio Centers, Reno NV",Brand,NV,Reno
"Talecris Plasma Resources, Reno NV",Brand,NV,Reno
"Blood and Plasma Research, Reno NV",Brand,NV,Reno
"B Positive Plasma, Reno NV",Brand,NV,Reno
"Freedom Plasma, Reno NV",Brand,NV,Reno
"GCAM Plasma, Reno NV",Brand,NV,Reno
"ADMA BioCenters, Reno NV",Brand,NV,Reno
"Southern Blood Services, Reno NV",Brand,NV,Reno
"plasma donation center, North Las Vegas NV",General,NV,North Las Vegas
"CSL Plasma, North Las Vegas NV",Brand,NV,North Las Vegas
"BioLife Plasma, North Las Vegas NV",Brand,NV,North Las Vegas
"Grifols Biomat, North Las Vegas NV",Brand,NV,North Las Vegas
"Octapharma Plasma, North Las Vegas NV",Brand,NV,North Las Vegas
"KEDPLASMA, North Las Vegas NV",Brand,NV,North Las Vegas
"Interstate Blood Bank, North Las Vegas NV",Brand,NV,North Las Vegas
"ImmunoTek Bio Centers, North Las Vegas NV",Brand,NV,North Las Vegas
"Talecris Plasma Resources, North Las Vegas NV",Brand,NV,North Las Vegas
"Blood and Plasma Research, North Las Vegas NV",Brand,NV,North Las Vegas
"B Positive Plasma, North Las Vegas NV",Brand,NV,North Las Vegas
"Freedom Plasma, North Las Vegas NV",Brand,NV,North Las Vegas
"GCAM Plasma, North Las Vegas NV",Brand,NV,North Las Vegas
"ADMA BioCenters, North Las Vegas NV",Brand,NV,North Las Vegas
"Southern Blood Services, North Las Vegas NV",Brand,NV,North Las Vegas
"plasma donation center, Sparks NV",General,NV,Sparks
"CSL Plasma, Sparks NV",Brand,NV,Sparks
"BioLife Plasma, Sparks NV",Brand,NV,Sparks
"Grifols Biomat, Sparks NV",Brand,NV,Sparks
"Octapharma Plasma, Sparks NV",Brand,NV,Sparks
"KEDPLASMA, Sparks NV",Brand,NV,Sparks
"Interstate Blood Bank, Sparks NV",Brand,NV,Sparks
"ImmunoTek Bio Centers, Sparks NV",Brand,NV,Sparks
"Talecris Plasma Resources, Sparks NV",Brand,NV,Sparks
"Blood and Plasma Research, Sparks NV",Brand,NV,Sparks
"B Positive Plasma, Sparks NV",Brand,NV,Sparks
"Freedom Plasma, Sparks NV",Brand,NV,Sparks
"GCAM Plasma, Sparks NV",Brand,NV,Sparks
"ADMA BioCenters, Sparks NV",Brand,NV,Sparks
"Southern Blood Services, Sparks NV",Brand,NV,Sparks
"plasma donation center, Carson City NV",General,NV,Carson City
"CSL Plasma, Carson City NV",Brand,NV,Carson City
"BioLife Plasma, Carson City NV",Brand,NV,Carson City
"Grifols Biomat, Carson City NV",Brand,NV,Carson City
"Octapharma Plasma, Carson City NV",Brand,NV,Carson City
"KEDPLASMA, Carson City NV",Brand,NV,Carson City
"Interstate Blood Bank, Carson City NV",Brand,NV,Carson City
"ImmunoTek Bio Centers, Carson City NV",Brand,NV,Carson City
"Talecris Plasma Resources, Carson City NV",Brand,NV,Carson City
"Blood and Plasma Research, Carson City NV",Brand,NV,Carson City
"B Positive Plasma, Carson City NV",Brand,NV,Carson City
"Freedom Plasma, Carson City NV",Brand,NV,Carson City
"GCAM Plasma, Carson City NV",Brand,NV,Carson City
"ADMA BioCenters, Carson City NV",Brand,NV,Carson City
"Southern Blood Services, Carson City NV",Brand,NV,Carson City
"plasma donation center, Fernley NV",General,NV,Fernley
"CSL Plasma, Fernley NV",Brand,NV,Fernley
"BioLife Plasma, Fernley NV",Brand,NV,Fernley
"Grifols Biomat, Fernley NV",Brand,NV,Fernley
"Octapharma Plasma, Fernley NV",Brand,NV,Fernley
"KEDPLASMA, Fernley NV",Brand,NV,Fernley
"Interstate Blood Bank, Fernley NV",Brand,NV,Fernley
"ImmunoTek Bio Centers, Fernley NV",Brand,NV,Fernley
"Talecris Plasma Resources, Fernley NV",Brand,NV,Fernley
"Blood and Plasma Research, Fernley NV",Brand,NV,Fernley
"B Positive Plasma, Fernley NV",Brand,NV,Fernley
"Freedom Plasma, Fernley NV",Brand,NV,Fernley
"GCAM Plasma, Fernley NV",Brand,NV,Fernley
"ADMA BioCenters, Fernley NV",Brand,NV,Fernley
"Southern Blood Services, Fernley NV",Brand,NV,Fernley
"plasma donation center, Elko NV",General,NV,Elko
"CSL Plasma, Elko NV",Brand,NV,Elko
"BioLife Plasma, Elko NV",Brand,NV,Elko
"Grifols Biomat, Elko NV",Brand,NV,Elko
"Octapharma Plasma, Elko NV",Brand,NV,Elko
"KEDPLASMA, Elko NV",Brand,NV,Elko
"Interstate Blood Bank, Elko NV",Brand,NV,Elko
"ImmunoTek Bio Centers, Elko NV",Brand,NV,Elko
"Talecris Plasma Resources, Elko NV",Brand,NV,Elko
"Blood and Plasma Research, Elko NV",Brand,NV,Elko
"B Positive Plasma, Elko NV",Brand,NV,Elko
"Freedom Plasma, Elko NV",Brand,NV,Elko
"GCAM Plasma, Elko NV",Brand,NV,Elko
"ADMA BioCenters, Elko NV",Brand,NV,Elko
"Southern Blood Services, Elko NV",Brand,NV,Elko
"plasma donation center, Mesquite NV",General,NV,Mesquite
"CSL Plasma, Mesquite NV",Brand,NV,Mesquite
"BioLife Plasma, Mesquite NV",Brand,NV,Mesquite
"Grifols Biomat, Mesquite NV",Brand,NV,Mesquite
"Octapharma Plasma, Mesquite NV",Brand,NV,Mesquite
"KEDPLASMA, Mesquite NV",Brand,NV,Mesquite
"Interstate Blood Bank, Mesquite NV",Brand,NV,Mesquite
"ImmunoTek Bio Centers, Mesquite NV",Brand,NV,Mesquite
"Talecris Plasma Resources, Mesquite NV",Brand,NV,Mesquite
"Blood and Plasma Research, Mesquite NV",Brand,NV,Mesquite
"B Positive Plasma, Mesquite NV",Brand,NV,Mesquite
"Freedom Plasma, Mesquite NV",Brand,NV,Mesquite
"GCAM Plasma, Mesquite NV",Brand,NV,Mesquite
"ADMA BioCenters, Mesquite NV",Brand,NV,Mesquite
"Southern Blood Services, Mesquite NV",Brand,NV,Mesquite
"plasma donation center, Boulder City NV",General,NV,Boulder City
"CSL Plasma, Boulder City NV",Brand,NV,Boulder City
"BioLife Plasma, Boulder City NV",Brand,NV,Boulder City
"Grifols Biomat, Boulder City NV",Brand,NV,Boulder City
"Octapharma Plasma, Boulder City NV",Brand,NV,Boulder City
"KEDPLASMA, Boulder City NV",Brand,NV,Boulder City
"Interstate Blood Bank, Boulder City NV",Brand,NV,Boulder City
"ImmunoTek Bio Centers, Boulder City NV",Brand,NV,Boulder City
"Talecris Plasma Resources, Boulder City NV",Brand,NV,Boulder City
"Blood and Plasma Research, Boulder City NV",Brand,NV,Boulder City
"B Positive Plasma, Boulder City NV",Brand,NV,Boulder City
"Freedom Plasma, Boulder City NV",Brand,NV,Boulder City
"GCAM Plasma, Boulder City NV",Brand,NV,Boulder City
"ADMA BioCenters, Boulder City NV",Brand,NV,Boulder City
"Southern Blood Services, Boulder City NV",Brand,NV,Boulder City
"plasma donation center, NH",General,NH,
"CSL Plasma, NH",Brand,NH,
"BioLife Plasma, NH",Brand,NH,
"Grifols Biomat, NH",Brand,NH,
"Octapharma Plasma, NH",Brand,NH,
"KEDPLASMA, NH",Brand,NH,
"Interstate Blood Bank, NH",Brand,NH,
"ImmunoTek Bio Centers, NH",Brand,NH,
"Talecris Plasma Resources, NH",Brand,NH,
"Blood and Plasma Research, NH",Brand,NH,
"B Positive Plasma, NH",Brand,NH,
"Freedom Plasma, NH",Brand,NH,
"GCAM Plasma, NH",Brand,NH,
"ADMA BioCenters, NH",Brand,NH,
"Southern Blood Services, NH",Brand,NH,
"plasma donation center, Manchester NH",General,NH,Manchester
"CSL Plasma, Manchester NH",Brand,NH,Manchester
"BioLife Plasma, Manchester NH",Brand,NH,Manchester
"Grifols Biomat, Manchester NH",Brand,NH,Manchester
"Octapharma Plasma, Manchester NH",Brand,NH,Manchester
"KEDPLASMA, Manchester NH",Brand,NH,Manchester
"Interstate Blood Bank, Manchester NH",Brand,NH,Manchester
"ImmunoTek Bio Centers, Manchester NH",Brand,NH,Manchester
"Talecris Plasma Resources, Manchester NH",Brand,NH,Manchester
"Blood and Plasma Research, Manchester NH",Brand,NH,Manchester
"B Positive Plasma, Manchester NH",Brand,NH,Manchester
"Freedom Plasma, Manchester NH",Brand,NH,Manchester
"GCAM Plasma, Manchester NH",Brand,NH,Manchester
"ADMA BioCenters, Manchester NH",Brand,NH,Manchester
"Southern Blood Services, Manchester NH",Brand,NH,Manchester
"plasma donation center, Nashua NH",General,NH,Nashua
"CSL Plasma, Nashua NH",Brand,NH,Nashua
"BioLife Plasma, Nashua NH",Brand,NH,Nashua
"Grifols Biomat, Nashua NH",Brand,NH,Nashua
"Octapharma Plasma, Nashua NH",Brand,NH,Nashua
"KEDPLASMA, Nashua NH",Brand,NH,Nashua
"Interstate Blood Bank, Nashua NH",Brand,NH,Nashua
"ImmunoTek Bio Centers, Nashua NH",Brand,NH,Nashua
"Talecris Plasma Resources, Nashua NH",Brand,NH,Nashua
"Blood and Plasma Research, Nashua NH",Brand,NH,Nashua
"B Positive Plasma, Nashua NH",Brand,NH,Nashua
"Freedom Plasma, Nashua NH",Brand,NH,Nashua
"GCAM Plasma, Nashua NH",Brand,NH,Nashua
"ADMA BioCenters, Nashua NH",Brand,NH,Nashua
"Southern Blood Services, Nashua NH",Brand,NH,Nashua
"plasma donation center, Concord NH",General,NH,Concord
"CSL Plasma, Concord NH",Brand,NH,Concord
"BioLife Plasma, Concord NH",Brand,NH,Concord
"Grifols Biomat, Concord NH",Brand,NH,Concord
"Octapharma Plasma, Concord NH",Brand,NH,Concord
"KEDPLASMA, Concord NH",Brand,NH,Concord
"Interstate Blood Bank, Concord NH",Brand,NH,Concord
"ImmunoTek Bio Centers, Concord NH",Brand,NH,Concord
"Talecris Plasma Resources, Concord NH",Brand,NH,Concord
"Blood and Plasma Research, Concord NH",Brand,NH,Concord
"B Positive Plasma, Concord NH",Brand,NH,Concord
"Freedom Plasma, Concord NH",Brand,NH,Concord
"GCAM Plasma, Concord NH",Brand,NH,Concord
"ADMA BioCenters, Concord NH",Brand,NH,Concord
"Southern Blood Services, Concord NH",Brand,NH,Concord
"plasma donation center, Derry NH",General,NH,Derry
"CSL Plasma, Derry NH",Brand,NH,Derry
"BioLife Plasma, Derry NH",Brand,NH,Derry
"Grifols Biomat, Derry NH",Brand,NH,Derry
"Octapharma Plasma, Derry NH",Brand,NH,Derry
"KEDPLASMA, Derry NH",Brand,NH,Derry
"Interstate Blood Bank, Derry NH",Brand,NH,Derry
"ImmunoTek Bio Centers, Derry NH",Brand,NH,Derry
"Talecris Plasma Resources, Derry NH",Brand,NH,Derry
"Blood and Plasma Research, Derry NH",Brand,NH,Derry
"B Positive Plasma, Derry NH",Brand,NH,Derry
"Freedom Plasma, Derry NH",Brand,NH,Derry
"GCAM Plasma, Derry NH",Brand,NH,Derry
"ADMA BioCenters, Derry NH",Brand,NH,Derry
"Southern Blood Services, Derry NH",Brand,NH,Derry
"plasma donation center, Dover NH",General,NH,Dover
"CSL Plasma, Dover NH",Brand,NH,Dover
"BioLife Plasma, Dover NH",Brand,NH,Dover
"Grifols Biomat, Dover NH",Brand,NH,Dover
"Octapharma Plasma, Dover NH",Brand,NH,Dover
"KEDPLASMA, Dover NH",Brand,NH,Dover
"Interstate Blood Bank, Dover NH",Brand,NH,Dover
"ImmunoTek Bio Centers, Dover NH",Brand,NH,Dover
"Talecris Plasma Resources, Dover NH",Brand,NH,Dover
"Blood and Plasma Research, Dover NH",Brand,NH,Dover
"B Positive Plasma, Dover NH",Brand,NH,Dover
"Freedom Plasma, Dover NH",Brand,NH,Dover
"GCAM Plasma, Dover NH",Brand,NH,Dover
"ADMA BioCenters, Dover NH",Brand,NH,Dover
"Southern Blood Services, Dover NH",Brand,NH,Dover
"plasma donation center, Rochester NH",General,NH,Rochester
"CSL Plasma, Rochester NH",Brand,NH,Rochester
"BioLife Plasma, Rochester NH",Brand,NH,Rochester
"Grifols Biomat, Rochester NH",Brand,NH,Rochester
"Octapharma Plasma, Rochester NH",Brand,NH,Rochester
"KEDPLASMA, Rochester NH",Brand,NH,Rochester
"Interstate Blood Bank, Rochester NH",Brand,NH,Rochester
"ImmunoTek Bio Centers, Rochester NH",Brand,NH,Rochester
"Talecris Plasma Resources, Rochester NH",Brand,NH,Rochester
"Blood and Plasma Research, Rochester NH",Brand,NH,Rochester
"B Positive Plasma, Rochester NH",Brand,NH,Rochester
"Freedom Plasma, Rochester NH",Brand,NH,Rochester
"GCAM Plasma, Rochester NH",Brand,NH,Rochester
"ADMA BioCenters, Rochester NH",Brand,NH,Rochester
"Southern Blood Services, Rochester NH",Brand,NH,Rochester
"plasma donation center, Salem NH",General,NH,Salem
"CSL Plasma, Salem NH",Brand,NH,Salem
"BioLife Plasma, Salem NH",Brand,NH,Salem
"Grifols Biomat, Salem NH",Brand,NH,Salem
"Octapharma Plasma, Salem NH",Brand,NH,Salem
"KEDPLASMA, Salem NH",Brand,NH,Salem
"Interstate Blood Bank, Salem NH",Brand,NH,Salem
"ImmunoTek Bio Centers, Salem NH",Brand,NH,Salem
"Talecris Plasma Resources, Salem NH",Brand,NH,Salem
"Blood and Plasma Research, Salem NH",Brand,NH,Salem
"B Positive Plasma, Salem NH",Brand,NH,Salem
"Freedom Plasma, Salem NH",Brand,NH,Salem
"GCAM Plasma, Salem NH",Brand,NH,Salem
"ADMA BioCenters, Salem NH",Brand,NH,Salem
"Southern Blood Services, Salem NH",Brand,NH,Salem
"plasma donation center, Merrimack NH",General,NH,Merrimack
"CSL Plasma, Merrimack NH",Brand,NH,Merrimack
"BioLife Plasma, Merrimack NH",Brand,NH,Merrimack
"Grifols Biomat, Merrimack NH",Brand,NH,Merrimack
"Octapharma Plasma, Merrimack NH",Brand,NH,Merrimack
"KEDPLASMA, Merrimack NH",Brand,NH,Merrimack
"Interstate Blood Bank, Merrimack NH",Brand,NH,Merrimack
"ImmunoTek Bio Centers, Merrimack NH",Brand,NH,Merrimack
"Talecris Plasma Resources, Merrimack NH",Brand,NH,Merrimack
"Blood and Plasma Research, Merrimack NH",Brand,NH,Merrimack
"B Positive Plasma, Merrimack NH",Brand,NH,Merrimack
"Freedom Plasma, Merrimack NH",Brand,NH,Merrimack
"GCAM Plasma, Merrimack NH",Brand,NH,Merrimack
"ADMA BioCenters, Merrimack NH",Brand,NH,Merrimack
"Southern Blood Services, Merrimack NH",Brand,NH,Merrimack
"plasma donation center, Hudson NH",General,NH,Hudson
"CSL Plasma, Hudson NH",Brand,NH,Hudson
"BioLife Plasma, Hudson NH",Brand,NH,Hudson
"Grifols Biomat, Hudson NH",Brand,NH,Hudson
"Octapharma Plasma, Hudson NH",Brand,NH,Hudson
"KEDPLASMA, Hudson NH",Brand,NH,Hudson
"Interstate Blood Bank, Hudson NH",Brand,NH,Hudson
"ImmunoTek Bio Centers, Hudson NH",Brand,NH,Hudson
"Talecris Plasma Resources, Hudson NH",Brand,NH,Hudson
"Blood and Plasma Research, Hudson NH",Brand,NH,Hudson
"B Positive Plasma, Hudson NH",Brand,NH,Hudson
"Freedom Plasma, Hudson NH",Brand,NH,Hudson
"GCAM Plasma, Hudson NH",Brand,NH,Hudson
"ADMA BioCenters, Hudson NH",Brand,NH,Hudson
"Southern Blood Services, Hudson NH",Brand,NH,Hudson
"plasma donation center, Londonderry NH",General,NH,Londonderry
"CSL Plasma, Londonderry NH",Brand,NH,Londonderry
"BioLife Plasma, Londonderry NH",Brand,NH,Londonderry
"Grifols Biomat, Londonderry NH",Brand,NH,Londonderry
"Octapharma Plasma, Londonderry NH",Brand,NH,Londonderry
"KEDPLASMA, Londonderry NH",Brand,NH,Londonderry
"Interstate Blood Bank, Londonderry NH",Brand,NH,Londonderry
"ImmunoTek Bio Centers, Londonderry NH",Brand,NH,Londonderry
"Talecris Plasma Resources, Londonderry NH",Brand,NH,Londonderry
"Blood and Plasma Research, Londonderry NH",Brand,NH,Londonderry
"B Positive Plasma, Londonderry NH",Brand,NH,Londonderry
"Freedom Plasma, Londonderry NH",Brand,NH,Londonderry
"GCAM Plasma, Londonderry NH",Brand,NH,Londonderry
"ADMA BioCenters, Londonderry NH",Brand,NH,Londonderry
"Southern Blood Services, Londonderry NH",Brand,NH,Londonderry
"plasma donation center, NJ",General,NJ,
"CSL Plasma, NJ",Brand,NJ,
"BioLife Plasma, NJ",Brand,NJ,
"Grifols Biomat, NJ",Brand,NJ,
"Octapharma Plasma, NJ",Brand,NJ,
"KEDPLASMA, NJ",Brand,NJ,
"Interstate Blood Bank, NJ",Brand,NJ,
"ImmunoTek Bio Centers, NJ",Brand,NJ,
"Talecris Plasma Resources, NJ",Brand,NJ,
"Blood and Plasma Research, NJ",Brand,NJ,
"B Positive Plasma, NJ",Brand,NJ,
"Freedom Plasma, NJ",Brand,NJ,
"GCAM Plasma, NJ",Brand,NJ,
"ADMA BioCenters, NJ",Brand,NJ,
"Southern Blood Services, NJ",Brand,NJ,
"plasma donation center, Newark NJ",General,NJ,Newark
"CSL Plasma, Newark NJ",Brand,NJ,Newark
"BioLife Plasma, Newark NJ",Brand,NJ,Newark
"Grifols Biomat, Newark NJ",Brand,NJ,Newark
"Octapharma Plasma, Newark NJ",Brand,NJ,Newark
"KEDPLASMA, Newark NJ",Brand,NJ,Newark
"Interstate Blood Bank, Newark NJ",Brand,NJ,Newark
"ImmunoTek Bio Centers, Newark NJ",Brand,NJ,Newark
"Talecris Plasma Resources, Newark NJ",Brand,NJ,Newark
"Blood and Plasma Research, Newark NJ",Brand,NJ,Newark
"B Positive Plasma, Newark NJ",Brand,NJ,Newark
"Freedom Plasma, Newark NJ",Brand,NJ,Newark
"GCAM Plasma, Newark NJ",Brand,NJ,Newark
"ADMA BioCenters, Newark NJ",Brand,NJ,Newark
"Southern Blood Services, Newark NJ",Brand,NJ,Newark
"plasma donation center, Jersey City NJ",General,NJ,Jersey City
"CSL Plasma, Jersey City NJ",Brand,NJ,Jersey City
"BioLife Plasma, Jersey City NJ",Brand,NJ,Jersey City
"Grifols Biomat, Jersey City NJ",Brand,NJ,Jersey City
"Octapharma Plasma, Jersey City NJ",Brand,NJ,Jersey City
"KEDPLASMA, Jersey City NJ",Brand,NJ,Jersey City
"Interstate Blood Bank, Jersey City NJ",Brand,NJ,Jersey City
"ImmunoTek Bio Centers, Jersey City NJ",Brand,NJ,Jersey City
"Talecris Plasma Resources, Jersey City NJ",Brand,NJ,Jersey City
"Blood and Plasma Research, Jersey City NJ",Brand,NJ,Jersey City
"B Positive Plasma, Jersey City NJ",Brand,NJ,Jersey City
"Freedom Plasma, Jersey City NJ",Brand,NJ,Jersey City
"GCAM Plasma, Jersey City NJ",Brand,NJ,Jersey City
"ADMA BioCenters, Jersey City NJ",Brand,NJ,Jersey City
"Southern Blood Services, Jersey City NJ",Brand,NJ,Jersey City
"plasma donation center, Paterson NJ",General,NJ,Paterson
"CSL Plasma, Paterson NJ",Brand,NJ,Paterson
"BioLife Plasma, Paterson NJ",Brand,NJ,Paterson
"Grifols Biomat, Paterson NJ",Brand,NJ,Paterson
"Octapharma Plasma, Paterson NJ",Brand,NJ,Paterson
"KEDPLASMA, Paterson NJ",Brand,NJ,Paterson
"Interstate Blood Bank, Paterson NJ",Brand,NJ,Paterson
"ImmunoTek Bio Centers, Paterson NJ",Brand,NJ,Paterson
"Talecris Plasma Resources, Paterson NJ",Brand,NJ,Paterson
"Blood and Plasma Research, Paterson NJ",Brand,NJ,Paterson
"B Positive Plasma, Paterson NJ",Brand,NJ,Paterson
"Freedom Plasma, Paterson NJ",Brand,NJ,Paterson
"GCAM Plasma, Paterson NJ",Brand,NJ,Paterson
"ADMA BioCenters, Paterson NJ",Brand,NJ,Paterson
"Southern Blood Services, Paterson NJ",Brand,NJ,Paterson
"plasma donation center, Elizabeth NJ",General,NJ,Elizabeth
"CSL Plasma, Elizabeth NJ",Brand,NJ,Elizabeth
"BioLife Plasma, Elizabeth NJ",Brand,NJ,Elizabeth
"Grifols Biomat, Elizabeth NJ",Brand,NJ,Elizabeth
"Octapharma Plasma, Elizabeth NJ",Brand,NJ,Elizabeth
"KEDPLASMA, Elizabeth NJ",Brand,NJ,Elizabeth
"Interstate Blood Bank, Elizabeth NJ",Brand,NJ,Elizabeth
"ImmunoTek Bio Centers, Elizabeth NJ",Brand,NJ,Elizabeth
"Talecris Plasma Resources, Elizabeth NJ",Brand,NJ,Elizabeth
"Blood and Plasma Research, Elizabeth NJ",Brand,NJ,Elizabeth
"B Positive Plasma, Elizabeth NJ",Brand,NJ,Elizabeth
"Freedom Plasma, Elizabeth NJ",Brand,NJ,Elizabeth
"GCAM Plasma, Elizabeth NJ",Brand,NJ,Elizabeth
"ADMA BioCenters, Elizabeth NJ",Brand,NJ,Elizabeth
"Southern Blood Services, Elizabeth NJ",Brand,NJ,Elizabeth
"plasma donation center, Edison NJ",General,NJ,Edison
"CSL Plasma, Edison NJ",Brand,NJ,Edison
"BioLife Plasma, Edison NJ",Brand,NJ,Edison
"Grifols Biomat, Edison NJ",Brand,NJ,Edison
"Octapharma Plasma, Edison NJ",Brand,NJ,Edison
"KEDPLASMA, Edison NJ",Brand,NJ,Edison
"Interstate Blood Bank, Edison NJ",Brand,NJ,Edison
"ImmunoTek Bio Centers, Edison NJ",Brand,NJ,Edison
"Talecris Plasma Resources, Edison NJ",Brand,NJ,Edison
"Blood and Plasma Research, Edison NJ",Brand,NJ,Edison
"B Positive Plasma, Edison NJ",Brand,NJ,Edison
"Freedom Plasma, Edison NJ",Brand,NJ,Edison
"GCAM Plasma, Edison NJ",Brand,NJ,Edison
"ADMA BioCenters, Edison NJ",Brand,NJ,Edison
"Southern Blood Services, Edison NJ",Brand,NJ,Edison
"plasma donation center, Woodbridge NJ",General,NJ,Woodbridge
"CSL Plasma, Woodbridge NJ",Brand,NJ,Woodbridge
"BioLife Plasma, Woodbridge NJ",Brand,NJ,Woodbridge
"Grifols Biomat, Woodbridge NJ",Brand,NJ,Woodbridge
"Octapharma Plasma, Woodbridge NJ",Brand,NJ,Woodbridge
"KEDPLASMA, Woodbridge NJ",Brand,NJ,Woodbridge
"Interstate Blood Bank, Woodbridge NJ",Brand,NJ,Woodbridge
"ImmunoTek Bio Centers, Woodbridge NJ",Brand,NJ,Woodbridge
"Talecris Plasma Resources, Woodbridge NJ",Brand,NJ,Woodbridge
"Blood and Plasma Research, Woodbridge NJ",Brand,NJ,Woodbridge
"B Positive Plasma, Woodbridge NJ",Brand,NJ,Woodbridge
"Freedom Plasma, Woodbridge NJ",Brand,NJ,Woodbridge
"GCAM Plasma, Woodbridge NJ",Brand,NJ,Woodbridge
"ADMA BioCenters, Woodbridge NJ",Brand,NJ,Woodbridge
"Southern Blood Services, Woodbridge NJ",Brand,NJ,Woodbridge
"plasma donation center, Lakewood NJ",General,NJ,Lakewood
"CSL Plasma, Lakewood NJ",Brand,NJ,Lakewood
"BioLife Plasma, Lakewood NJ",Brand,NJ,Lakewood
"Grifols Biomat, Lakewood NJ",Brand,NJ,Lakewood
"Octapharma Plasma, Lakewood NJ",Brand,NJ,Lakewood
"KEDPLASMA, Lakewood NJ",Brand,NJ,Lakewood
"Interstate Blood Bank, Lakewood NJ",Brand,NJ,Lakewood
"ImmunoTek Bio Centers, Lakewood NJ",Brand,NJ,Lakewood
"Talecris Plasma Resources, Lakewood NJ",Brand,NJ,Lakewood
"Blood and Plasma Research, Lakewood NJ",Brand,NJ,Lakewood
"B Positive Plasma, Lakewood NJ",Brand,NJ,Lakewood
"Freedom Plasma, Lakewood NJ",Brand,NJ,Lakewood
"GCAM Plasma, Lakewood NJ",Brand,NJ,Lakewood
"ADMA BioCenters, Lakewood NJ",Brand,NJ,Lakewood
"Southern Blood Services, Lakewood NJ",Brand,NJ,Lakewood
"plasma donation center, Toms River NJ",General,NJ,Toms River
"CSL Plasma, Toms River NJ",Brand,NJ,Toms River
"BioLife Plasma, Toms River NJ",Brand,NJ,Toms River
"Grifols Biomat, Toms River NJ",Brand,NJ,Toms River
"Octapharma Plasma, Toms River NJ",Brand,NJ,Toms River
"KEDPLASMA, Toms River NJ",Brand,NJ,Toms River
"Interstate Blood Bank, Toms River NJ",Brand,NJ,Toms River
"ImmunoTek Bio Centers, Toms River NJ",Brand,NJ,Toms River
"Talecris Plasma Resources, Toms River NJ",Brand,NJ,Toms River
"Blood and Plasma Research, Toms River NJ",Brand,NJ,Toms River
"B Positive Plasma, Toms River NJ",Brand,NJ,Toms River
"Freedom Plasma, Toms River NJ",Brand,NJ,Toms River
"GCAM Plasma, Toms River NJ",Brand,NJ,Toms River
"ADMA BioCenters, Toms River NJ",Brand,NJ,Toms River
"Southern Blood Services, Toms River NJ",Brand,NJ,Toms River
"plasma donation center, Hamilton NJ",General,NJ,Hamilton
